model,accuracy,train_accuracy,recall,precision,cost,latency,date
XGBoost_ml_questions_baai-32,92.97,0.0,0.0,0.0,0.0,2024771.5,2025-04-19 12:39:15.576354
SVM_ml_questions_baai-64,96.88,0.0,0.0,0.0,0.0,42114664.5,2025-04-19 12:39:15.748266
XGBoost_ml_questions_baai-64,92.97,0.0,0.0,0.0,0.0,2168679,2025-04-19 12:39:15.836294
SVM_ml_questions_baai-128,96.88,0.0,0.0,0.0,0.0,88256856,2025-04-19 12:39:16.011376
XGBoost_ml_questions_baai-128,92.97,0.0,0.0,0.0,0.0,2091214,2025-04-19 12:39:16.114382
SVM_ml_questions_baai-256,96.88,0.0,0.0,0.0,0.0,93096939,2025-04-19 12:39:16.301724
XGBoost_ml_questions_baai-256,92.97,0.0,0.0,0.0,0.0,2585903,2025-04-19 12:39:16.390238
SVM_jigsaw_tf_idf-1,24.58,0.0,0.0,0.0,0.0,6011568.420970753,2025-04-19 12:39:49.811475
XGBoost_jigsaw_tf_idf-1,58.31,0.0,0.0,0.0,0.0,3329646.570939639,2025-04-19 12:39:49.910672
SVM_jigsaw_tf_idf-16,24.58,0.0,0.0,0.0,0.0,48398963.05472637,2025-04-19 12:40:03.327276
XGBoost_jigsaw_tf_idf-16,58.31,0.0,0.0,0.0,0.0,4308457.258706467,2025-04-19 12:40:03.439742
SVM_jigsaw_tf_idf-32,24.58,0.0,0.0,0.0,0.0,91589486.65346535,2025-04-19 12:40:13.284402
XGBoost_jigsaw_tf_idf-32,58.31,0.0,0.0,0.0,0.0,4754464.495049505,2025-04-19 12:40:13.388186
SVM_jigsaw_tf_idf-64,24.58,0.0,0.0,0.0,0.0,176150956.82352942,2025-04-19 12:40:22.663358
XGBoost_jigsaw_tf_idf-64,58.31,0.0,0.0,0.0,0.0,3763942.0392156863,2025-04-19 12:40:22.764018
SVM_jigsaw_tf_idf-128,24.58,0.0,0.0,0.0,0.0,343250193.46153843,2025-04-19 12:40:34.475046
XGBoost_jigsaw_tf_idf-128,58.31,0.0,0.0,0.0,0.0,3988866.4615384615,2025-04-19 12:40:34.574637
SVM_jigsaw_tf_idf-256,24.58,0.0,0.0,0.0,0.0,667322874.3846154,2025-04-19 12:40:43.396551
XGBoost_jigsaw_tf_idf-256,58.31,0.0,0.0,0.0,0.0,4186559.4615384615,2025-04-19 12:40:43.496908
SVM_olid_tf_idf-1,26.16,0.0,0.0,0.0,0.0,5649205.68255814,2025-04-19 12:40:51.493629
XGBoost_olid_tf_idf-1,67.44,0.0,0.0,0.0,0.0,3303370.7906976743,2025-04-19 12:40:51.585705
SVM_olid_tf_idf-16,26.16,0.0,0.0,0.0,0.0,40334155.925925925,2025-04-19 12:40:54.131042
XGBoost_olid_tf_idf-16,67.44,0.0,0.0,0.0,0.0,4973520.666666667,2025-04-19 12:40:54.228345
SVM_olid_tf_idf-32,26.16,0.0,0.0,0.0,0.0,79289867.18518518,2025-04-19 12:40:56.579225
XGBoost_olid_tf_idf-32,67.44,0.0,0.0,0.0,0.0,4381299.407407408,2025-04-19 12:40:56.671431
SVM_olid_tf_idf-64,26.16,0.0,0.0,0.0,0.0,144631912.7857143,2025-04-19 12:40:58.837004
XGBoost_olid_tf_idf-64,67.44,0.0,0.0,0.0,0.0,3658368.4285714286,2025-04-19 12:40:58.926818
SVM_olid_tf_idf-128,26.16,0.0,0.0,0.0,0.0,283609825,2025-04-19 12:41:01.029476
XGBoost_olid_tf_idf-128,67.44,0.0,0.0,0.0,0.0,3824845.714285714,2025-04-19 12:41:01.121055
SVM_olid_tf_idf-256,26.16,0.0,0.0,0.0,0.0,514638081,2025-04-19 12:41:06.334077
XGBoost_olid_tf_idf-256,67.44,0.0,0.0,0.0,0.0,3215674.25,2025-04-19 12:41:06.429490
SVM_hate_xplain_tf_idf-1,21.72,0.0,0.0,0.0,0.0,6048377.50968829,2025-04-19 12:42:14.679691
XGBoost_hate_xplain_tf_idf-1,66.4,0.0,0.0,0.0,0.0,4241510.554507161,2025-04-19 12:42:14.801397
SVM_hate_xplain_tf_idf-16,21.72,0.0,0.0,0.0,0.0,43945042.82479785,2025-04-19 12:42:33.047878
XGBoost_hate_xplain_tf_idf-16,66.4,0.0,0.0,0.0,0.0,4773299.15902965,2025-04-19 12:42:33.155193
SVM_hate_xplain_tf_idf-32,21.72,0.0,0.0,0.0,0.0,80854410.73655914,2025-04-19 12:42:51.432304
XGBoost_hate_xplain_tf_idf-32,66.4,0.0,0.0,0.0,0.0,3804415.8279569894,2025-04-19 12:42:51.541504
SVM_hate_xplain_tf_idf-64,21.72,0.0,0.0,0.0,0.0,154414050.4408602,2025-04-19 12:43:06.352150
XGBoost_hate_xplain_tf_idf-64,66.4,0.0,0.0,0.0,0.0,3594263.301075269,2025-04-19 12:43:06.471910
SVM_hate_xplain_tf_idf-128,21.72,0.0,0.0,0.0,0.0,308062457.17021275,2025-04-19 12:43:24.141051
XGBoost_hate_xplain_tf_idf-128,66.4,0.0,0.0,0.0,0.0,4220673.638297873,2025-04-19 12:43:24.251946
